timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
2280,0.80,-1.84,0.05,-30.8,10.4,-7.4
2341,0.76,-1.40,0.02,-0.1,7.1,1.9
2341,0.68,-1.33,0.12,2.1,6.0,2.9
2343,0.59,-1.40,0.09,-18.2,10.3,12.1
2371,0.57,-1.26,-0.14,-14.1,10.2,18.4
2371,0.53,-0.87,-0.10,-3.2,0.5,31.4
2400,0.49,-0.57,0.23,-4.0,2.6,28.7
2431,0.49,-0.59,0.14,-0.9,9.6,26.1
2459,0.53,-0.58,-0.18,-5.0,5.9,26.0
2460,0.51,-0.47,-0.10,-7.9,1.6,25.2
2491,0.51,-0.41,0.05,-1.7,-1.6,21.9
2491,0.59,-0.39,0.11,23.3,3.1,16.6
2521,0.60,-0.47,-0.01,19.3,5.0,11.0
2521,0.64,-0.52,-0.15,-3.9,-0.1,5.9
2550,0.66,-0.68,-0.04,1.8,-2.1,3.8
2580,0.65,-0.65,-0.10,44.2,-3.8,2.9
2582,0.57,-0.66,-0.18,87.3,-6.5,1.5
2611,0.42,-0.74,-0.33,68.3,-10.4,-2.1
2641,0.29,-0.63,-0.43,34.2,-12.6,-6.1
2670,0.12,-0.00,-0.24,27.9,-20.0,-29.2
2670,0.41,-0.24,-0.35,166.7,-21.4,-56.9
2701,-0.03,-1.28,-0.07,257.3,-27.3,-60.9
2701,-0.47,-1.62,-0.62,288.0,-18.3,-53.6
2731,-0.57,-1.27,-1.78,238.1,-40.2,-48.3
2761,-0.89,-1.42,-1.25,201.7,-62.5,-53.8
2761,-0.80,-2.36,-0.46,245.4,-58.3,-59.7
2790,-0.72,-3.34,-3.23,248.7,-101.7,-11.2
2820,-1.21,-1.24,-3.01,313.4,-150.6,6.7
2851,-2.20,-0.31,-1.01,630.4,-212.7,-44.1
2852,-2.22,-1.17,-1.05,770.8,-176.3,-89.1
2910,-2.10,-1.48,-3.79,894.0,-190.0,-114.1
2911,-2.87,-0.65,-4.00,915.7,-245.8,-155.6
2912,-3.82,-0.14,-3.24,564.9,-226.9,-227.9
2971,-4.00,2.24,-4.00,351.5,-258.8,-293.7
2971,-3.99,1.79,-2.65,326.2,-319.4,-416.6
3001,-4.00,2.44,-1.60,258.9,-297.1,-506.9
3001,-4.00,1.26,-2.31,409.1,-288.1,-590.6
3030,-4.00,-1.34,-0.34,202.1,-267.7,-653.2
3060,-4.00,-2.81,2.41,-63.5,-221.6,-702.0
3061,-4.00,-4.00,2.52,-63.4,-202.8,-671.0
3090,-4.00,-4.00,3.02,-33.2,-198.1,-464.4
3121,-1.97,-3.99,4.00,-6.3,-134.3,-246.7
3150,-0.83,-4.00,4.00,-41.5,-49.4,-118.1
3152,1.08,-4.00,2.32,-7.6,30.6,-69.4
3190,1.01,-4.00,-0.25,77.9,43.1,8.9
3211,0.99,-3.88,-0.93,81.4,31.7,33.2
3211,1.31,-2.40,-1.10,35.1,13.5,69.5
3241,1.09,0.47,0.10,5.7,-7.9,75.7
3271,0.69,0.08,0.55,102.8,10.5,31.6
3271,0.66,-1.17,-1.18,88.4,44.7,11.3
3301,0.79,-0.59,-2.73,0.2,-5.6,33.9
3331,0.73,0.12,-2.73,-13.7,-37.3,26.2
3331,0.07,0.42,-0.55,-7.4,-75.1,-13.5
3361,-0.35,-0.78,0.83,10.3,-74.6,-48.5
3361,-0.43,-1.63,1.14,-17.1,-40.7,-55.5
3391,-0.39,-2.54,0.48,-63.6,-9.9,-30.9
3451,-0.26,-2.31,-0.59,-19.3,-20.4,-4.5
3451,-0.29,-2.09,-0.21,32.7,-37.7,14.0
3452,-0.42,-1.61,0.93,16.2,-22.4,24.0
3480,-0.39,-1.08,1.17,-0.1,16.5,22.0
3510,-0.13,-0.98,0.19,22.6,40.2,21.9
3512,0.08,-0.79,-0.84,43.8,33.3,23.1
3541,0.16,-0.59,-1.18,22.5,12.2,19.2
3542,0.08,-0.28,-0.62,3.7,-2.1,11.8
3631,0.03,-0.20,0.02,8.3,5.4,-0.9
3660,0.08,-0.35,-0.21,9.9,17.4,-12.6
3661,0.15,-0.85,-0.84,11.2,15.7,-16.2
3664,0.17,-1.14,-0.86,-20.1,-9.2,-10.3
3664,0.08,-1.04,-0.41,-40.4,-17.6,-5.5
3690,-0.02,-0.91,-0.01,-28.7,-16.5,-7.4
3691,0.09,-1.14,0.11,-28.6,-7.9,-6.2
3721,0.13,-1.21,-0.02,-65.6,-1.0,-4.0
3751,0.19,-1.30,-0.29,-133.4,-1.3,-0.5
3751,0.13,-1.29,-0.39,-207.2,-7.6,-0.7
3781,0.06,-1.51,-0.08,-244.3,-14.9,2.0
3781,0.05,-1.78,0.61,-285.3,-5.9,11.0
3809,0.01,-1.94,0.79,-372.9,13.5,15.6
3840,-0.10,-2.52,0.62,-519.2,23.1,22.6
3901,-0.15,-2.52,0.97,-658.1,32.2,42.2
3902,-0.11,-1.54,1.52,-697.0,53.8,50.8
3903,-0.05,-0.74,1.75,-652.3,79.0,35.0
3903,0.08,-0.89,1.62,-611.1,97.7,22.8
3930,0.01,-0.07,1.63,-593.5,100.0,21.0
3960,-0.03,0.96,1.79,-568.7,103.6,5.1
3991,0.28,2.08,0.99,-495.5,100.0,-58.1
3991,0.90,0.29,0.16,-398.6,45.6,-83.4
4021,0.32,0.53,4.00,-218.7,41.7,-43.8
4021,0.32,1.35,3.54,-9.0,126.5,-34.8
4050,0.56,1.23,0.62,40.1,134.6,-56.6
4080,0.50,-0.21,-0.29,-207.4,79.5,-55.6
4111,0.22,1.07,1.40,-506.0,52.1,-56.0
4139,0.18,3.40,3.07,-466.9,76.3,-117.0
4140,-0.33,2.35,2.79,-311.8,121.9,-173.7
4170,-0.42,1.13,0.52,-213.1,121.9,-180.8
4170,-0.17,1.06,-0.57,-173.5,77.3,-174.1
4200,-0.05,1.07,0.62,-200.3,45.9,-186.6
4233,-0.17,0.95,1.02,-211.8,61.0,-191.9
4260,-0.06,1.62,-0.14,-41.9,57.7,-203.6
4260,-0.06,0.60,-0.80,15.7,43.9,-212.0
4319,-0.32,0.23,0.18,-114.9,7.8,-212.4
4320,-0.48,0.68,0.76,-148.1,12.8,-212.0
4321,-0.48,0.80,0.04,-119.1,26.4,-216.1
4351,-0.51,0.50,-0.44,-58.5,16.2,-221.8
4381,-0.56,0.37,-0.23,-13.0,-2.2,-221.7
4381,-0.59,-0.03,0.39,21.3,2.0,-219.1
4411,-0.50,-0.22,0.15,49.3,16.9,-208.6
4412,-0.46,-0.24,0.04,47.9,17.4,-206.6
4440,-0.58,-0.62,-0.03,31.0,17.0,-201.5
4471,-0.71,-0.72,0.03,18.1,17.7,-187.0
4471,-0.51,-0.65,0.04,12.6,16.7,-182.4
4529,-0.56,-0.71,0.28,-12.7,15.7,-178.2
4531,-0.62,-0.69,0.20,-36.1,20.9,-174.7
4560,-0.57,-1.06,-0.03,-61.0,15.8,-169.4
4560,-0.51,-1.22,0.03,-50.5,6.5,-160.1
4590,-0.52,-1.87,0.29,-12.4,3.7,-140.0
4621,-0.50,-1.78,0.14,24.2,6.3,-112.8
4621,-0.36,-1.73,0.16,5.7,-3.1,-97.9
4651,-0.24,-1.48,1.14,-53.5,7.1,-87.3
4710,-0.20,-1.03,1.26,-65.0,38.5,-91.2
4711,-0.20,-1.47,0.27,-55.2,48.4,-98.0
4711,0.01,-2.43,-0.13,-56.5,34.4,-80.9
4753,0.10,-2.29,0.22,-49.6,30.1,-51.1
4830,0.15,-1.60,0.28,-12.5,34.1,-42.5
4831,0.24,-2.06,-0.22,-21.5,33.9,-40.2
4834,0.23,-2.01,-0.39,-41.9,24.0,-25.8
4834,0.25,-1.65,-0.36,-16.0,8.9,-15.6
4861,0.26,-1.79,-0.19,-19.9,8.9,-10.0
4861,0.25,-1.53,-0.67,27.0,-9.0,4.0
4891,0.05,-1.30,-0.32,83.6,-24.3,8.4
4921,-0.18,-0.93,0.08,124.9,-19.3,3.5
